2023-10-06 11:18:06.864 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:06.865 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:06.865 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:06.865 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 1 millisecond
2023-10-06 11:18:08.265 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:08.266 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:08.267 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:08.267 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 2 millisecond
2023-10-06 11:18:08.943 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:08.943 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:08.944 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:08.944 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 1 millisecond
2023-10-06 11:18:09.908 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:09.909 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:09.909 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:09.910 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 2 millisecond
2023-10-06 11:18:10.465 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:10.467 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:10.467 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:10.467 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 2 millisecond
2023-10-06 11:18:10.904 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:10.904 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:10.904 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:10.905 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 1 millisecond
2023-10-06 11:18:11.346 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:11.346 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:11.346 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:11.346 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 0 millisecond
2023-10-06 11:18:11.751 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:11.751 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
